,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post
970,864691135273490193,864691135693555647,11824,2594,1719,-0.03487409855240846,L2/3,L5
971,864691135919483824,864691135693555647,2596,3472,1719,-0.06139708256359914,L2/3,L5
972,864691135697111962,864691135693555647,64252,1199,1719,0.29833214877533826,L2/3,L5
973,864691136136778621,864691135693555647,50300,1007,1719,-0.05290032303792336,L2/3,L5
974,864691135582259309,864691135693555647,20592,11269,1719,-0.029589353598386103,L2/3,L5
975,864691136953057759,864691135693555647,4584,12006,1719,0.18389699021469333,L2/3,L5
977,864691135926952148,864691135693555647,23972,224,1719,-0.03739183123809879,L2/3,L5
978,864691135502623157,864691135693555647,7288,233,1719,-0.04511980781592832,L2/3,L5
980,864691135213709624,864691135693555647,4556,12064,1719,-0.04671244211103043,L2/3,L5
982,864691135749133097,864691135693555647,3108,11478,1719,0.19805708533268207,L2/3,L5
983,864691135762879286,864691135693555647,1452,4042,1719,0.3891412038947278,L2/3,L5
984,864691135995592874,864691135693555647,33040,4053,1719,-0.20917102716532346,L2/3,L5
985,864691135859753832,864691135693555647,15752,6216,1719,0.07612484482929333,L2/3,L5
997,864691135155894884,864691136209777596,3040,2145,1807,0.13337460417771804,L2/3,L5
998,864691135614771147,864691136209777596,9940,4673,1807,0.27432775831715744,L2/3,L5
1003,864691135469422674,864691136209777596,13456,6391,1807,0.026336667578381778,L2/3,L5
1005,864691135938349828,864691136209777596,12088,5160,1807,0.05826644477039172,L2/3,L5
1013,864691135155894884,864691135700908411,7768,2145,1696,0.0019782645032339436,L2/3,L5
1014,864691135497743635,864691135700908411,22544,3625,1696,0.11773032537141803,L2/3,L5
1029,864691135155894884,864691135577875461,164,2145,4711,-0.03756301115930745,L2/3,L5
1060,864691135155894884,864691136032774075,1160,2145,924,0.19882521115991725,L2/3,L5
1061,864691135066182980,864691136032774075,672,4554,924,0.3132149684089586,L2/3,L5
1062,864691136066733720,864691136032774075,12208,25,924,0.012905503692811626,L2/3,L5
1064,864691135855890478,864691136032774075,6180,1175,924,0.07075429572329488,L2/3,L5
1066,864691136812081779,864691136032774075,5964,7111,924,-0.19273335668222147,L2/3,L5
1067,864691135938155573,864691136032774075,15860,4094,924,0.10632347624007057,L2/3,L5
1075,864691135155894884,864691135446181522,55060,2145,4700,0.24322917755221818,L2/3,L5
1092,864691135155894884,864691135278906273,5716,2145,7665,0.1492082350606893,L2/3,L5
1093,864691135855890478,864691135278906273,476,1175,7665,-0.029986560530502297,L2/3,L5
1094,864691135155894884,864691135926608142,4120,2145,4828,-0.003697992102126973,L2/3,L5
1098,864691136925601354,864691135926608142,13788,1547,4828,-0.04470183938435762,L2/3,L5
1103,864691135155894884,864691136135014795,95244,2145,2667,0.1981376664150882,L2/3,L5
1133,864691135155894884,864691136051370995,4244,2145,2728,0.2316926812082516,L2/3,L5
1144,864691135155894884,864691136904210610,6348,2145,2625,0.2755974191429055,L2/3,L5
1146,864691136084747372,864691136904210610,6080,7291,2625,0.287670116500409,L2/3,L5
1153,864691135155894884,864691136371325320,7384,2145,5930,0.018380130728390655,L2/3,L5
1154,864691136309871706,864691136371325320,7308,2232,5930,-0.001105586877225911,L2/3,L5
1177,864691135155894884,864691135884943984,2396,2145,2780,-0.10527165386475992,L2/3,L5
1178,864691135338381030,864691135884943984,11508,7267,2780,0.1085790922488104,L2/3,L5
