,pre_pt_root_id,post_pt_root_id,sum_size,index_pre,index_post,C,cell_type_pre,cell_type_post,distance
12041,864691135502623157,864691136228203857,9836,233,3750,0.20977672147848062,L2/3,L5,199.78698175807148
12042,864691136066733720,864691136228203857,2280,25,3750,-0.059774525145693695,L2/3,L5,318.3864287560008
12054,864691135782702387,864691135491795687,20292,497,1816,0.30541331945213535,L2/3,L5,228.5576866526261
12056,864691135594164523,864691135491795687,2644,7236,1816,0.15951318135082143,L2/3,L5,262.93796609846976
12102,864691136451224831,864691136451603199,2832,84,9555,-0.1487243844274981,L2/3,L5,739.7827052209318
12122,864691135569637510,864691136090233399,9688,5617,3715,0.07802944039918809,L2/3,L5,192.12759493628192
12127,864691136990522517,864691135270174373,12416,8726,870,-0.07479597140149757,L2/3,L5,340.0018071481386
12129,864691135491205735,864691135270174373,2728,4507,870,-0.11870344167860156,L2/3,L5,740.5195151081435
12194,864691135614771147,864691136237715516,3036,4673,5897,0.26915531630076056,L2/3,L5,199.670312745786
12195,864691135701034107,864691136237715516,18812,410,5897,0.2354662664345458,L2/3,L5,222.69527448960383
12196,864691136009055404,864691136237715516,3216,5428,5897,0.13064195616119909,L2/3,L5,245.92962531586141
12198,864691135614771147,864691135866537861,3224,4673,3682,0.012552194349562956,L2/3,L5,335.3908315025918
12199,864691134884807418,864691135866537861,2076,8075,3682,-0.06275096687631117,L2/3,L5,274.29324897270084
12211,864691135614771147,864691135234028121,1720,4673,3693,0.07570106857324604,L2/3,L5,274.55624251508107
12212,864691135469422674,864691135234028121,19452,6391,3693,0.31142164853944876,L2/3,L5,259.9126361529966
12213,864691136066069400,864691135234028121,460,1013,3693,-0.08135991217590148,L2/3,L5,389.5024851268603
12214,864691135614771147,864691135472952114,7836,4673,9490,0.08878793590969004,L2/3,L5,368.31151206553403
12240,864691135614771147,864691135182830850,192,4673,1641,-0.05453884200459627,L2/3,L5,249.9782960178743
12248,864691135614771147,864691135778215101,4752,4673,875,0.203085519145289,L2/3,L5,299.3810724812107
12249,864691135100604448,864691135778215101,11764,11258,875,0.13359935961857486,L2/3,L5,372.30139635515735
12250,864691135701034107,864691135778215101,808,410,875,0.020288823749288417,L2/3,L5,301.25754658763316
12264,864691135614771147,864691135118654685,3236,4673,2653,0.04512270475149794,L2/3,L5,328.6102289339149
12265,864691135684657079,864691135118654685,3860,8179,2653,-0.09176510549066813,L2/3,L5,354.04281277834195
12434,864691136092174260,864691135463649854,504,232,915,0.2213763521734348,L2/3,L5,286.8225856657736
12436,864691135582259309,864691135463649854,864,11269,915,0.026346993241266794,L2/3,L5,359.95749011237433
12439,864691136379426005,864691135463649854,25796,10895,915,0.1111517289561539,L2/3,L5,356.18194945841935
12440,864691135867704342,864691135463649854,9004,11113,915,0.07030031204405476,L2/3,L5,338.4924228398622
12442,864691136812081779,864691135463649854,5468,7111,915,0.07621131029804275,L2/3,L5,648.6265070130884
12444,864691136237644604,864691135463649854,5248,3150,915,-0.02542768129105041,L2/3,L5,679.3391820173483
12472,864691136209328060,864691135565572375,11064,5517,2673,0.23115276318222874,L2/3,L5,210.4393240817885
12474,864691136990522517,864691135565572375,3756,8726,2673,-0.014104520420484422,L2/3,L5,226.0067460940049
12475,864691135397503777,864691135565572375,9236,5154,2673,-0.17940543761278419,L2/3,L5,337.16873696118387
12527,864691135397503777,864691136334615219,7948,5154,1723,-0.07488665013406828,L2/3,L5,348.7287707086985
12541,864691135782702387,864691135716065306,16176,497,1693,-0.07846961907860633,L2/3,L5,253.20461101646632
12542,864691135724453547,864691135716065306,25124,110,1693,0.2610220526172566,L2/3,L5,488.2746736499856
12543,864691135855890478,864691135716065306,2104,1175,1693,-0.06053868837164987,L2/3,L5,411.5164479628973
12574,864691135684358583,864691136522551441,15184,8632,7139,-0.29415242480494724,L2/3,L5,535.2764009444091
12575,864691136309871706,864691136522551441,14744,2232,7139,0.008018686886955706,L2/3,L5,61.95560320100193
12576,864691135952122147,864691136522551441,17524,7988,7139,-0.025607671339794972,L2/3,L5,172.50321198169044
12676,864691136812081779,864691136419119255,2752,7111,7631,0.006919000361340187,L2/3,L5,242.28444096969994
12677,864691136309871706,864691136419119255,6528,2232,7631,-0.024110868736080943,L2/3,L5,264.87383333202257
12787,864691136209328060,864691135655152834,68660,5517,880,-0.07233145679375233,L2/3,L5,310.408611839298
12788,864691135782702387,864691135655152834,35408,497,880,-0.2691695303768541,L2/3,L5,358.79539484224154
12789,864691135407816393,864691135655152834,14536,11591,880,0.28641617500894906,L2/3,L5,390.83730073778776
12791,864691136209328060,864691137197239617,24932,5517,6010,-0.05113267667229841,L2/3,L5,326.453099308308
12792,864691135100604448,864691137197239617,4844,11258,6010,0.06460122139969984,L2/3,L5,417.5599975476578
12795,864691136209328060,864691135104516941,2664,5517,9501,-0.14143961629494317,L2/3,L5,454.0265807196755
12796,864691136903681458,864691135104516941,5044,3254,9501,0.25169315297452327,L2/3,L5,227.36538487641437
12797,864691136209328060,864691135349349079,45612,5517,6006,-0.08877878493724495,L2/3,L5,397.85672202942595
12798,864691135473091634,864691135349349079,460,11597,6006,-0.22182420392570695,L2/3,L5,482.7837423609043
12801,864691135233730649,864691135349349079,26304,306,6006,0.14503667196704506,L2/3,L5,394.3901429194193
12802,864691136209328060,864691135346126239,5060,5517,7779,0.2716081427164338,L2/3,L5,281.1658864087178
12803,864691136108938168,864691135346126239,7808,411,7779,-0.04712521157454317,L2/3,L5,715.1978126588475
12804,864691135926952148,864691135346126239,14396,224,7779,0.31324382003136536,L2/3,L5,300.80432773482505
12805,864691135469422674,864691135346126239,188,6391,7779,-0.04836315652717289,L2/3,L5,360.95934751714077
12835,864691136209328060,864691135591002379,1628,5517,7032,-0.05206518459006972,L2/3,L5,457.29742416068785
12836,864691136136778621,864691135591002379,53632,1007,7032,0.10628119327522643,L2/3,L5,480.00698901578505
12837,864691136309871706,864691135591002379,5080,2232,7032,0.06100419318919294,L2/3,L5,476.5162329407047
12839,864691136209328060,864691135416344250,700,5517,1602,-0.11948089772587885,L2/3,L5,403.4589715150724
12840,864691135684358583,864691135416344250,6768,8632,1602,-0.0475185055510464,L2/3,L5,496.6979167904774
12843,864691136209328060,864691135992695745,10612,5517,1765,0.17652215244967367,L2/3,L5,301.967624966651
